Año,Trimestre,Provincia,Tecnología,value
2017,1,San Juan,ADSL,48670.0
2017,1,San Luis,ADSL,11432.0
2017,1,Santa Cruz,ADSL,15502.0
2017,1,Santa Fe,ADSL,327458.0
2017,1,Santiago Del Estero,ADSL,29616.0
2017,1,Tierra Del Fuego,ADSL,22636.0
2017,1,Tucumán,ADSL,147373.0
2016,4,Buenos Aires,ADSL,1563542.0
2016,4,Capital Federal,ADSL,434835.0
2016,4,Catamarca,ADSL,26735.0
2016,4,Chaco,ADSL,54974.0
2016,4,Chubut,ADSL,43994.0
2016,4,Córdoba,ADSL,337368.0
2016,4,Corrientes,ADSL,54981.0
2016,4,Entre Ríos,ADSL,109359.0
2016,4,Formosa,ADSL,22400.0
2016,4,Jujuy,ADSL,33838.0
2016,4,La Pampa,ADSL,12754.0
2016,4,La Rioja,ADSL,16270.0
2016,4,Mendoza,ADSL,153320.0
2016,4,Misiones,ADSL,57983.0
2016,4,Neuquén,ADSL,51742.0
2016,4,Río Negro,ADSL,67057.0
2016,4,Salta,ADSL,79389.0
2016,4,San Juan,ADSL,48670.0
2016,4,San Luis,ADSL,11432.0
2016,4,Santa Cruz,ADSL,15607.0
2016,4,Santa Fe,ADSL,326721.0
2016,4,Santiago Del Estero,ADSL,30192.0
2016,4,Tierra Del Fuego,ADSL,22636.0
2016,4,Tucumán,ADSL,146995.0
2016,3,Buenos Aires,ADSL,1574216.0
2016,3,Capital Federal,ADSL,447726.0
2016,3,Catamarca,ADSL,26689.0
2016,3,Chaco,ADSL,56251.0
2016,3,Chubut,ADSL,43987.0
2016,3,Córdoba,ADSL,348481.0
2016,3,Corrientes,ADSL,55934.0
2016,3,Entre Ríos,ADSL,112588.0
2016,3,Formosa,ADSL,21800.0
2016,3,Jujuy,ADSL,34250.0
2016,3,La Pampa,ADSL,12751.0
2016,3,La Rioja,ADSL,16891.0
2016,3,Mendoza,ADSL,153233.0
2016,3,Misiones,ADSL,59776.0
2016,3,Neuquén,ADSL,51752.0
2016,3,Río Negro,ADSL,67043.0
2016,3,Salta,ADSL,80866.0
2016,3,San Juan,ADSL,48670.0
2016,3,San Luis,ADSL,11432.0
2016,3,Santa Cruz,ADSL,15570.0
2016,3,Santa Fe,ADSL,334911.0
2016,3,Santiago Del Estero,ADSL,31730.0
2016,3,Tierra Del Fuego,ADSL,22636.0
2016,3,Tucumán,ADSL,147259.0
2016,2,Buenos Aires,ADSL,1579448.0
2016,2,Capital Federal,ADSL,450644.0
2016,2,Catamarca,ADSL,26262.0
2016,2,Chaco,ADSL,56112.0
2016,2,Chubut,ADSL,43977.0
2016,2,Córdoba,ADSL,348891.0
2016,2,Corrientes,ADSL,55511.0
2016,2,Entre Ríos,ADSL,112809.0
2016,2,Formosa,ADSL,22101.0
2016,2,Jujuy,ADSL,33758.0
2016,2,La Pampa,ADSL,12754.0
2016,2,La Rioja,ADSL,16691.0
2016,2,Mendoza,ADSL,153321.0
2016,2,Misiones,ADSL,59573.0
